(.venv) harshinisaidonepudi@dhcp-vl2051-348 mle-module-4-93c3173d-HarshiniDonepudi % python project/run_mnist_multiclass.py
Epoch 4 loss 0.5847858369646948 valid acc 15/16
Epoch 4 loss 1.3044315685530574 valid acc 15/16
Epoch 4 loss 0.7602000370311782 valid acc 15/16
Epoch 4 loss 1.6977575019869278 valid acc 16/16
Epoch 4 loss 1.2733115343319366 valid acc 16/16
Epoch 4 loss 0.7709829976916489 valid acc 16/16
Epoch 4 loss 1.033064662520486 valid acc 16/16
Epoch 4 loss 0.8815392257701483 valid acc 15/16
Epoch 4 loss 1.2075841299793504 valid acc 16/16
Epoch 4 loss 1.1249744881294064 valid acc 15/16
Epoch 4 loss 0.8345578615376437 valid acc 16/16
Epoch 4 loss 1.2241903385387314 valid acc 16/16
Epoch 4 loss 1.635574453053048 valid acc 15/16
Epoch 4 loss 1.5845698210947077 valid acc 14/16
Epoch 4 loss 1.6111180909010545 valid acc 14/16
Epoch 4 loss 1.404873417655563 valid acc 12/16
Epoch 4 loss 1.628692637288394 valid acc 14/16
Epoch 4 loss 1.2410152789090236 valid acc 15/16
Epoch 4 loss 0.8452266182586512 valid acc 15/16
Epoch 4 loss 1.217558166240104 valid acc 15/16
Epoch 4 loss 1.1863450989170246 valid acc 15/16
Epoch 4 loss 0.8545497362539496 valid acc 15/16
Epoch 4 loss 1.9280927036231805 valid acc 15/16
Epoch 4 loss 0.8147053468422355 valid acc 15/16
Epoch 4 loss 1.315424241758922 valid acc 14/16
Epoch 4 loss 1.7709166612851106 valid acc 15/16
Epoch 4 loss 1.022747503627843 valid acc 15/16
Epoch 4 loss 0.6729521514236703 valid acc 15/16
Epoch 4 loss 0.6742780345738072 valid acc 15/16
Epoch 4 loss 1.0584382466622397 valid acc 15/16
Epoch 4 loss 1.6759616206518386 valid acc 14/16
Epoch 4 loss 0.5236109624702969 valid acc 15/16
Epoch 4 loss 1.5317270769113513 valid acc 15/16
Epoch 4 loss 1.1778434442526513 valid acc 14/16
Epoch 4 loss 1.2068712670400041 valid acc 15/16
Epoch 4 loss 0.6214233087952303 valid acc 14/16
Epoch 4 loss 1.4450691344677906 valid acc 14/16
Epoch 4 loss 1.5440055565871058 valid acc 14/16
Epoch 4 loss 1.0734752299072987 valid acc 14/16
Epoch 4 loss 1.5066324072868607 valid acc 14/16
Epoch 4 loss 1.1870614582147447 valid acc 14/16
Epoch 5 loss 0.1905175975492666 valid acc 15/16
Epoch 5 loss 1.6443418173374977 valid acc 16/16
Epoch 5 loss 1.8676743087375627 valid acc 15/16
Epoch 5 loss 1.0860523052757214 valid acc 15/16
Epoch 5 loss 1.0215696464809838 valid acc 15/16
Epoch 5 loss 0.6939558253591085 valid acc 15/16
Epoch 5 loss 1.0224688011017868 valid acc 15/16
Epoch 5 loss 1.2384918394667 valid acc 14/16
Epoch 5 loss 1.71003707748946 valid acc 14/16
Epoch 5 loss 0.9540498167264643 valid acc 13/16
Epoch 5 loss 1.1570305772200327 valid acc 15/16
Epoch 5 loss 2.188685818521689 valid acc 16/16
Epoch 5 loss 1.8776769508356563 valid acc 15/16
Epoch 5 loss 1.5892887032899365 valid acc 15/16
Epoch 5 loss 1.9371454450141612 valid acc 16/16
Epoch 5 loss 1.0080813897002843 valid acc 14/16
Epoch 5 loss 2.3147251526295145 valid acc 15/16
Epoch 5 loss 1.6812181242351756 valid acc 15/16
Epoch 5 loss 1.6120191079571549 valid acc 15/16
Epoch 5 loss 0.9390113529801377 valid acc 15/16
Epoch 5 loss 1.1286129714779638 valid acc 15/16
Epoch 5 loss 0.9123495849725333 valid acc 15/16
Epoch 5 loss 0.1794313621763079 valid acc 16/16
Epoch 5 loss 0.8519282768032581 valid acc 15/16
Epoch 5 loss 1.2159741357721763 valid acc 14/16
Epoch 5 loss 1.3799375374489633 valid acc 15/16
Epoch 5 loss 0.9302791659356716 valid acc 15/16
Epoch 5 loss 0.5219596271196056 valid acc 15/16
Epoch 5 loss 1.151039247688449 valid acc 15/16
Epoch 5 loss 0.43722170944246397 valid acc 15/16
Epoch 5 loss 1.1217660844386173 valid acc 15/16
Epoch 5 loss 1.012085663413438 valid acc 15/16
Epoch 5 loss 0.3378675057235336 valid acc 15/16
Epoch 5 loss 0.7813385633117028 valid acc 15/16
Epoch 5 loss 1.6399464014158807 valid acc 14/16
Epoch 5 loss 1.3001254741216532 valid acc 15/16
Epoch 5 loss 1.7438535529203538 valid acc 15/16
Epoch 5 loss 1.479025079140362 valid acc 15/16
Epoch 5 loss 1.6698379580982752 valid acc 14/16
Epoch 5 loss 1.6227078540598259 valid acc 15/16
Epoch 5 loss 0.7847042873637614 valid acc 16/16
Epoch 5 loss 1.4416655718945537 valid acc 15/16
Epoch 5 loss 0.9648688467911415 valid acc 15/16
Epoch 5 loss 0.47472464114153645 valid acc 15/16
Epoch 5 loss 1.155643375079762 valid acc 16/16
Epoch 5 loss 0.37375250778754043 valid acc 16/16
Epoch 5 loss 1.1139186658618847 valid acc 16/16
Epoch 5 loss 1.1870012436085484 valid acc 16/16
Epoch 5 loss 0.820191561539297 valid acc 15/16
Epoch 5 loss 0.5364366227950732 valid acc 15/16
Epoch 5 loss 0.6784097939694358 valid acc 16/16
Epoch 5 loss 0.9500280259988536 valid acc 15/16
Epoch 5 loss 1.178443187127121 valid acc 14/16
Epoch 5 loss 0.8107764130498141 valid acc 15/16
Epoch 5 loss 1.3355754723715343 valid acc 15/16
Epoch 5 loss 0.5927814371538447 valid acc 15/16
Epoch 5 loss 0.46373008320988585 valid acc 15/16
Epoch 5 loss 0.8079993077541227 valid acc 15/16
Epoch 5 loss 1.1180739425439474 valid acc 15/16
Epoch 5 loss 1.0801546772445036 valid acc 15/16
Epoch 5 loss 0.8723939524495375 valid acc 14/16
Epoch 5 loss 0.9152966147526409 valid acc 15/16
Epoch 5 loss 1.0704299039172416 valid acc 15/16
Epoch 6 loss 0.07987394363458908 valid acc 15/16
Epoch 6 loss 0.8063097082728716 valid acc 16/16
Epoch 6 loss 1.6600297402587108 valid acc 15/16
Epoch 6 loss 1.494712141078904 valid acc 14/16
Epoch 6 loss 0.526205511856754 valid acc 15/16
Epoch 6 loss 1.1479491086772415 valid acc 16/16
Epoch 6 loss 1.3410634856277164 valid acc 15/16
Epoch 6 loss 1.3659224717478855 valid acc 15/16
Epoch 6 loss 0.9166196267843857 valid acc 15/16
Epoch 6 loss 1.071898863414247 valid acc 14/16
Epoch 6 loss 0.8640323696476423 valid acc 14/16
Epoch 6 loss 1.7073384477915754 valid acc 15/16
Epoch 6 loss 1.3094122342625127 valid acc 15/16
Epoch 6 loss 0.966300481083767 valid acc 14/16
Epoch 6 loss 1.5990161876291777 valid acc 14/16
Epoch 6 loss 1.2504096648651546 valid acc 14/16
Epoch 6 loss 1.803328560837938 valid acc 15/16
Epoch 6 loss 1.5133658274939286 valid acc 14/16
Epoch 6 loss 1.288624511915707 valid acc 15/16
Epoch 6 loss 0.922617353505373 valid acc 15/16
Epoch 6 loss 1.071043177414492 valid acc 13/16
Epoch 6 loss 0.8576844358765477 valid acc 15/16
Epoch 6 loss 0.31322468427559086 valid acc 16/16
Epoch 6 loss 0.8675948264799517 valid acc 15/16
Epoch 6 loss 0.5384492481120375 valid acc 15/16
Epoch 6 loss 0.80784835086742 valid acc 15/16
Epoch 6 loss 1.3693904144929763 valid acc 15/16
Epoch 6 loss 0.5785384154062645 valid acc 15/16
Epoch 6 loss 0.631191035917291 valid acc 15/16
Epoch 6 loss 0.563131791863584 valid acc 15/16
Epoch 6 loss 1.2144770283914772 valid acc 15/16
Epoch 6 loss 1.0153748958680446 valid acc 15/16
Epoch 6 loss 0.6548543500452336 valid acc 15/16
Epoch 6 loss 0.6251046884209839 valid acc 15/16
Epoch 6 loss 1.234511311224543 valid acc 14/16
Epoch 6 loss 0.8241707188448734 valid acc 15/16
Epoch 6 loss 0.5380504561405453 valid acc 14/16
Epoch 6 loss 0.7945739809761286 valid acc 14/16
Epoch 6 loss 1.4606164775534742 valid acc 14/16
Epoch 6 loss 1.3438885688525013 valid acc 15/16
Epoch 6 loss 0.6077809307042937 valid acc 14/16
Epoch 6 loss 0.9676528639359764 valid acc 15/16
Epoch 6 loss 0.8496515586085054 valid acc 15/16
Epoch 6 loss 0.59175415088483 valid acc 15/16
Epoch 6 loss 0.5362560758438863 valid acc 15/16
Epoch 6 loss 0.5445052688391752 valid acc 15/16
Epoch 6 loss 0.5799487743863924 valid acc 15/16
Epoch 6 loss 1.2954493555618924 valid acc 15/16
Epoch 6 loss 1.131244964155426 valid acc 15/16
Epoch 6 loss 0.27162205217122287 valid acc 15/16
Epoch 6 loss 0.5355826022503131 valid acc 15/16
Epoch 6 loss 0.7408444845205439 valid acc 15/16
Epoch 6 loss 2.082823424800634 valid acc 14/16
Epoch 6 loss 0.5284062700852058 valid acc 14/16
Epoch 6 loss 0.6694806057709715 valid acc 14/16
Epoch 6 loss 0.7499906079046269 valid acc 14/16
Epoch 6 loss 0.7772629530307805 valid acc 15/16
Epoch 6 loss 0.6713732876529008 valid acc 15/16
Epoch 6 loss 1.109913772028964 valid acc 15/16
Epoch 6 loss 0.5815581636271762 valid acc 15/16
Epoch 6 loss 0.34237645615161094 valid acc 15/16
Epoch 6 loss 0.3726982630825581 valid acc 15/16
Epoch 6 loss 0.8797058641418367 valid acc 14/16
Epoch 7 loss 0.3019810448689678 valid acc 16/16
Epoch 7 loss 0.9049084264574706 valid acc 15/16
Epoch 7 loss 1.4574574185551845 valid acc 15/16
Epoch 7 loss 0.7321134411332089 valid acc 15/16
Epoch 7 loss 0.7224079869650518 valid acc 15/16
Epoch 7 loss 0.7333912247644461 valid acc 15/16
Epoch 7 loss 0.9939513901889087 valid acc 15/16
Epoch 7 loss 1.1246362229183806 valid acc 16/16
Epoch 7 loss 0.7668517985230314 valid acc 16/16
Epoch 7 loss 0.5794605507424554 valid acc 15/16
Epoch 7 loss 0.8034388408888137 valid acc 14/16
Epoch 7 loss 1.3082800093264004 valid acc 15/16
Epoch 7 loss 1.199480972463981 valid acc 14/16
Epoch 7 loss 1.1839787460241393 valid acc 15/16
Epoch 7 loss 0.967107944800293 valid acc 15/16
Epoch 7 loss 0.995682555800725 valid acc 15/16
Epoch 7 loss 1.6619733173875924 valid acc 15/16
Epoch 7 loss 1.2283391774373695 valid acc 15/16
Epoch 7 loss 1.6127892077230894 valid acc 15/16
Epoch 7 loss 0.7534326569546055 valid acc 15/16
Epoch 7 loss 0.911654636366451 valid acc 15/16
Epoch 7 loss 0.25704598803408374 valid acc 15/16
Epoch 7 loss 0.23919984126434599 valid acc 15/16
Epoch 7 loss 0.4977103102953742 valid acc 15/16
Epoch 7 loss 0.35978343700303983 valid acc 15/16
Epoch 7 loss 1.4390410399175437 valid acc 15/16
Epoch 7 loss 0.6131000236836263 valid acc 15/16
Epoch 7 loss 0.634296808842574 valid acc 16/16
Epoch 7 loss 0.7652842380597578 valid acc 15/16
Epoch 7 loss 0.5283224592347655 valid acc 16/16
Epoch 7 loss 1.0207558550244151 valid acc 16/16
Epoch 7 loss 0.44499208908170995 valid acc 16/16
Epoch 7 loss 0.4636627384456161 valid acc 16/16
Epoch 7 loss 0.4735200994843926 valid acc 16/16
Epoch 7 loss 1.189667627674511 valid acc 15/16
Epoch 7 loss 0.8589105773889293 valid acc 14/16
Epoch 7 loss 1.0639004156185397 valid acc 15/16
Epoch 7 loss 0.5533992493392591 valid acc 16/16
Epoch 7 loss 0.7357838731787966 valid acc 15/16
Epoch 7 loss 1.1062848864667203 valid acc 16/16
Epoch 7 loss 0.6048775903540528 valid acc 16/16
Epoch 7 loss 0.7192274996705115 valid acc 15/16
Epoch 7 loss 0.5341308170826433 valid acc 16/16
Epoch 7 loss 0.37383848846162737 valid acc 15/16
Epoch 7 loss 0.6554209203923298 valid acc 16/16
Epoch 7 loss 0.3459161942326119 valid acc 16/16
Epoch 7 loss 0.6515128793562832 valid acc 16/16
Epoch 7 loss 1.3978966438393752 valid acc 16/16
Epoch 7 loss 0.3147735259225238 valid acc 16/16
Epoch 7 loss 0.41353632930100476 valid acc 15/16
Epoch 7 loss 0.22533951306087016 valid acc 16/16
Epoch 7 loss 0.5608348056073225 valid acc 16/16
Epoch 7 loss 0.9784554713240243 valid acc 15/16
Epoch 7 loss 0.5013639746708747 valid acc 16/16
Epoch 7 loss 0.39940903311698644 valid acc 15/16
Epoch 7 loss 0.5183380358499968 valid acc 15/16
Epoch 7 loss 1.0293389040964633 valid acc 14/16
Epoch 7 loss 0.38274441125267344 valid acc 15/16
Epoch 7 loss 0.6614648112536958 valid acc 14/16
Epoch 7 loss 0.5287456407960559 valid acc 14/16
Epoch 7 loss 0.5323109960238707 valid acc 14/16
Epoch 7 loss 0.7851450583816613 valid acc 15/16
Epoch 7 loss 0.8201276928166936 valid acc 14/16
Epoch 8 loss 0.0412787241905168 valid acc 14/16
Epoch 8 loss 1.1198723294851152 valid acc 16/16
Epoch 8 loss 1.280711327205484 valid acc 15/16
Epoch 8 loss 0.5513804691475819 valid acc 15/16
Epoch 8 loss 0.5841684863943496 valid acc 15/16
Epoch 8 loss 0.7695570069431286 valid acc 15/16
Epoch 8 loss 1.3581254624586634 valid acc 15/16
Epoch 8 loss 1.242243907530504 valid acc 15/16
Epoch 8 loss 1.0384798400786046 valid acc 15/16
Epoch 8 loss 0.7449532119949349 valid acc 15/16
Epoch 8 loss 1.2592922548221226 valid acc 14/16
Epoch 8 loss 1.829641009458495 valid acc 14/16
Epoch 8 loss 0.9329674771130809 valid acc 15/16
Epoch 8 loss 0.7393706436628081 valid acc 15/16
Epoch 8 loss 1.0174302914952706 valid acc 15/16
Epoch 8 loss 0.9745898530880375 valid acc 15/16
Epoch 8 loss 1.8479985809834323 valid acc 15/16
Epoch 8 loss 0.8431324604764433 valid acc 15/16
Epoch 8 loss 0.821027692376362 valid acc 15/16
Epoch 8 loss 0.6411006393935629 valid acc 15/16
Epoch 8 loss 0.8652125404917841 valid acc 16/16
Epoch 8 loss 0.524615166803775 valid acc 15/16
Epoch 8 loss 0.13318567463074765 valid acc 16/16
Epoch 8 loss 0.7066308516832147 valid acc 14/16
Epoch 8 loss 0.2155584863559682 valid acc 15/16
Epoch 8 loss 0.7373767273998646 valid acc 15/16
Epoch 8 loss 0.6747256008727597 valid acc 16/16
Epoch 8 loss 0.5209343501762532 valid acc 16/16
Epoch 8 loss 0.4792682076540964 valid acc 16/16
Epoch 8 loss 0.4498980877442722 valid acc 16/16
Epoch 8 loss 0.5748743634825311 valid acc 15/16
Epoch 8 loss 0.290109935628164 valid acc 15/16
Epoch 8 loss 0.5525904164795036 valid acc 16/16
Epoch 8 loss 0.4948790464284494 valid acc 16/16
Epoch 8 loss 1.081080013641587 valid acc 16/16
Epoch 8 loss 1.0616789469192134 valid acc 15/16
Epoch 8 loss 0.25142558999206965 valid acc 15/16
Epoch 8 loss 1.0763850149616572 valid acc 14/16
Epoch 8 loss 0.8005058045507091 valid acc 15/16
Epoch 8 loss 0.7920686304530213 valid acc 15/16
Epoch 8 loss 0.46500335819345057 valid acc 16/16
Epoch 8 loss 0.4605335352115748 valid acc 16/16
Epoch 8 loss 1.0116000584375118 valid acc 15/16
Epoch 8 loss 0.5487835299468106 valid acc 15/16
Epoch 8 loss 0.4457612515017341 valid acc 16/16
Epoch 8 loss 0.21232954927540088 valid acc 15/16
Epoch 8 loss 0.5891547538692132 valid acc 15/16
Epoch 8 loss 1.2981751475982182 valid acc 15/16
Epoch 8 loss 0.5780195054863001 valid acc 15/16
Epoch 8 loss 0.48142610614546644 valid acc 15/16
Epoch 8 loss 0.4068931411972078 valid acc 15/16
Epoch 8 loss 0.477088972614713 valid acc 16/16
Epoch 8 loss 0.7128728762174161 valid acc 15/16
Epoch 8 loss 0.23527163238222712 valid acc 15/16
Epoch 8 loss 0.545013906522763 valid acc 15/16
Epoch 8 loss 0.5936105165975433 valid acc 15/16
