.venv) harshinisaidonepudi@dhcp-vl2051-348 mle-module-4-93c3173d-HarshiniDonepudi % python project/run_mnist_multiclass.py
Epoch 5 loss 1.1742035571816738 valid acc 15/16
Epoch 5 loss 0.6053864390888656 valid acc 15/16
Epoch 5 loss 1.7639057141640497 valid acc 15/16
Epoch 5 loss 2.412920461916576 valid acc 15/16
Epoch 5 loss 2.1353751868611868 valid acc 15/16
Epoch 5 loss 2.270398810429526 valid acc 14/16
Epoch 5 loss 1.5382730714518154 valid acc 15/16
Epoch 5 loss 1.7404597704596605 valid acc 15/16
Epoch 5 loss 1.6035135857195078 valid acc 16/16
Epoch 5 loss 1.090409566049187 valid acc 15/16
Epoch 5 loss 1.3471517728055291 valid acc 15/16
Epoch 5 loss 2.534532568485891 valid acc 14/16
Epoch 5 loss 1.0871668334083109 valid acc 16/16
Epoch 5 loss 0.630866792085234 valid acc 12/16
Epoch 5 loss 1.6380378710753432 valid acc 13/16
Epoch 5 loss 2.199090031908301 valid acc 14/16
Epoch 5 loss 1.9387282130567594 valid acc 14/16
Epoch 5 loss 1.763090829116511 valid acc 15/16
Epoch 5 loss 0.9876350319431482 valid acc 15/16
Epoch 5 loss 1.735047372159082 valid acc 15/16
Epoch 5 loss 0.4000878045627506 valid acc 15/16
Epoch 5 loss 1.1348170558438602 valid acc 14/16
Epoch 5 loss 2.6182602066516436 valid acc 14/16
Epoch 5 loss 0.8474459057386737 valid acc 14/16
Epoch 5 loss 0.8096035366109926 valid acc 15/16
Epoch 5 loss 1.8762109099954298 valid acc 15/16
Epoch 5 loss 1.4711581045162485 valid acc 16/16
Epoch 5 loss 1.7913060726929522 valid acc 15/16
Epoch 5 loss 1.0029854575986854 valid acc 15/16
Epoch 5 loss 1.5364564725214505 valid acc 14/16
Epoch 5 loss 0.7905412847967679 valid acc 14/16
Epoch 5 loss 0.8190766051526971 valid acc 15/16
Epoch 5 loss 1.241425763887622 valid acc 14/16
Epoch 5 loss 1.4969832168591648 valid acc 14/16
Epoch 5 loss 1.2873292166368513 valid acc 14/16
Epoch 5 loss 1.5978371812438616 valid acc 15/16
Epoch 5 loss 0.6089533028050026 valid acc 16/16
Epoch 5 loss 2.7072736508194772 valid acc 15/16
Epoch 5 loss 1.4517768580094517 valid acc 15/16
Epoch 5 loss 0.6493384233101369 valid acc 15/16
Epoch 5 loss 1.0500814444258826 valid acc 15/16
Epoch 5 loss 1.1063325124540946 valid acc 15/16
Epoch 5 loss 1.088931972829287 valid acc 14/16
Epoch 5 loss 0.7352848898817202 valid acc 16/16
Epoch 5 loss 0.8645859862269284 valid acc 16/16
Epoch 5 loss 0.9998262292033893 valid acc 13/16
Epoch 5 loss 1.5350636887249196 valid acc 13/16
Epoch 5 loss 0.8101601136198042 valid acc 13/16
Epoch 5 loss 2.2483652472782194 valid acc 14/16
Epoch 5 loss 1.8253376321012205 valid acc 14/16
Epoch 5 loss 1.5128900222994106 valid acc 14/16
Epoch 5 loss 1.6654818823669544 valid acc 15/16
Epoch 5 loss 0.7818569264858108 valid acc 15/16
Epoch 5 loss 0.9636931251684764 valid acc 15/16
Epoch 6 loss 0.0025317917656480673 valid acc 15/16
Epoch 6 loss 1.1848906889359991 valid acc 15/16
Epoch 6 loss 0.8898178912388249 valid acc 15/16
Epoch 6 loss 0.9894315994562846 valid acc 15/16
Epoch 6 loss 1.1101669434916275 valid acc 14/16
Epoch 6 loss 0.8986787239263199 valid acc 14/16
Epoch 6 loss 1.96738914196788 valid acc 13/16
Epoch 6 loss 1.2888805852436624 valid acc 14/16
Epoch 6 loss 1.4335430688027622 valid acc 14/16
Epoch 6 loss 1.2449708218564535 valid acc 15/16
Epoch 6 loss 1.1227891514415853 valid acc 15/16
Epoch 6 loss 1.3046897918830438 valid acc 15/16
Epoch 6 loss 1.5560531528692132 valid acc 14/16
Epoch 6 loss 1.4735193910006572 valid acc 13/16
Epoch 6 loss 0.8514633444384437 valid acc 15/16
